"rank","item","obs","au","np"
"1","1","1.7","0.508","0.146"
"2","2","1.7","0.676","0.254"
"3","3","7.1","0.374","0.05"
"4","4","1.7","0.677","0.253"
"5","5","1.7","0.68","0.253"
"6","6","2.5","0.59","0.097"
"7","7","1.7","0.677","0.254"
"8","8","6.4","0.373","0.089"
"9","9","1.7","0.508","0.147"
"10","10","0","0.728","0.305"
"11","11","1.7","0.676","0.254"
"12","12","7.1","0.372","0.05"
"13","13","1.7","0.676","0.254"
"14","14","-0","0.728","0.304"
"15","15","2.5","0.589","0.097"
"16","16","1.7","0.507","0.147"
"17","17","38.3","0.04","0.006"
"18","18","25.1","0.168","0.007"
"19","19","28.6","0.023","0.001"
"20","20","38.2","0.014","0.003"
"21","21","35.6","0.034","0.004"
"22","22","49.2","0.009","0.0002"
"23","23","35.3","0.019","0.003"
"24","24","47.5","0.037","0.01"
"25","25","50","0.012","0.001"
"26","26","27.9","0.02","0.004"
"27","27","27.1","0.09","0.011"
"28","28","34","0.012","0.0004"
"29","29","32.3","0.059","0.007"
"30","30","31.1","0.045","0.004"
"31","31","22.3","0.078","0.007"
"32","32","34.4","0.017","0.001"
