"rank","item","obs","au","np"
"1","1","1.7","0.497","0.146"
"2","2","1.7","0.675","0.252"
"3","3","7.1","0.371","0.05"
"4","4","1.7","0.675","0.252"
"5","5","1.7","0.678","0.252"
"6","6","2.5","0.586","0.096"
"7","7","1.7","0.678","0.252"
"8","8","6.4","0.37","0.088"
"9","9","1.7","0.498","0.146"
"10","10","0","0.738","0.308"
"11","11","1.7","0.677","0.251"
"12","12","7.1","0.367","0.051"
"13","13","1.7","0.676","0.252"
"14","14","-0","0.737","0.307"
"15","15","2.5","0.586","0.096"
"16","16","1.7","0.502","0.145"
"17","17","38.3","0.041","0.006"
"18","18","25.1","0.156","0.007"
"19","19","28.6","0.015","0.0005"
"20","20","38.2","0.015","0.003"
"21","21","35.6","0.037","0.005"
"22","22","49.2","0.011","0.0003"
"23","23","35.3","0.017","0.002"
"24","24","47.5","0.039","0.01"
"25","25","50","0.011","0.001"
"26","26","27.9","0.034","0.005"
"27","27","27.1","0.08","0.01"
"28","28","34","0.017","0.001"
"29","29","32.3","0.082","0.008"
"30","30","31.1","0.036","0.004"
"31","31","22.3","0.069","0.007"
"32","32","34.4","0.028","0.001"
