"rank","item","obs","au","np"
"1","1","1.7","0.513","0.145"
"2","2","1.7","0.667","0.254"
"3","3","7.1","0.353","0.052"
"4","4","1.7","0.667","0.254"
"5","5","1.7","0.667","0.254"
"6","6","2.5","0.594","0.097"
"7","7","1.7","0.667","0.255"
"8","8","6.4","0.39","0.089"
"9","9","1.7","0.515","0.145"
"10","10","0","0.729","0.308"
"11","11","1.7","0.664","0.255"
"12","12","7.1","0.352","0.052"
"13","13","1.7","0.667","0.254"
"14","14","-0","0.73","0.306"
"15","15","2.5","0.592","0.097"
"16","16","1.7","0.513","0.145"
"17","17","38.3","0.032","0.005"
"18","18","25.1","0.099","0.006"
"19","19","28.6","0.009","0.0004"
"20","20","38.2","0.012","0.003"
"21","21","35.6","0.048","0.005"
"22","22","49.2","0.003","0.0002"
"23","23","35.3","0.01","0.002"
"24","24","47.5","0.038","0.01"
"25","25","50","0.014","0.001"
"26","26","27.9","0.051","0.005"
"27","27","27.1","0.1","0.01"
"28","28","34","0.017","0.001"
"29","29","32.3","0.083","0.008"
"30","30","31.1","0.042","0.004"
"31","31","22.3","0.061","0.007"
"32","32","34.4","0.017","0.001"
