"rank","item","obs","au","np"
"1","1","1.7","0.484","0.143"
"2","2","1.7","0.659","0.251"
"3","3","7.1","0.38","0.05"
"4","4","1.7","0.659","0.251"
"5","5","1.7","0.66","0.251"
"6","6","2.5","0.597","0.097"
"7","7","1.7","0.658","0.252"
"8","8","6.4","0.397","0.09"
"9","9","1.7","0.481","0.143"
"10","10","0","0.734","0.31"
"11","11","1.7","0.656","0.252"
"12","12","7.1","0.375","0.05"
"13","13","1.7","0.658","0.251"
"14","14","-0","0.735","0.308"
"15","15","2.5","0.598","0.096"
"16","16","1.7","0.482","0.143"
"17","17","38.3","0.036","0.006"
"18","18","25.1","0.126","0.007"
"19","19","28.6","0.032","0.001"
"20","20","38.2","0.016","0.003"
"21","21","35.6","0.035","0.005"
"22","22","49.2","0.008","0.0005"
"23","23","35.3","0.022","0.003"
"24","24","47.5","0.041","0.01"
"25","25","50","0.026","0.002"
"26","26","27.9","0.033","0.004"
"27","27","27.1","0.11","0.011"
"28","28","34","0.02","0.0003"
"29","29","32.3","0.059","0.007"
"30","30","31.1","0.041","0.004"
"31","31","22.3","0.077","0.007"
"32","32","34.4","0.024","0.001"
