"rank","item","obs","au","np"
"1","1","1.7","0.518","0.145"
"2","2","1.7","0.677","0.252"
"3","3","7.1","0.378","0.05"
"4","4","1.7","0.676","0.252"
"5","5","1.7","0.677","0.252"
"6","6","2.5","0.591","0.096"
"7","7","1.7","0.678","0.252"
"8","8","6.4","0.39","0.091"
"9","9","1.7","0.515","0.145"
"10","10","0","0.726","0.306"
"11","11","1.7","0.676","0.252"
"12","12","7.1","0.378","0.05"
"13","13","1.7","0.676","0.252"
"14","14","-0","0.726","0.305"
"15","15","2.5","0.593","0.096"
"16","16","1.7","0.514","0.145"
"17","17","38.3","0.041","0.006"
"18","18","25.1","0.153","0.007"
"19","19","28.6","0.013","0.0004"
"20","20","38.2","0.014","0.003"
"21","21","35.6","0.033","0.005"
"22","22","49.2","0.008","0.0003"
"23","23","35.3","0.015","0.003"
"24","24","47.5","0.039","0.01"
"25","25","50","0.011","0.001"
"26","26","27.9","0.029","0.004"
"27","27","27.1","0.098","0.011"
"28","28","34","0.02","0.0004"
"29","29","32.3","0.052","0.007"
"30","30","31.1","0.03","0.003"
"31","31","22.3","0.067","0.008"
"32","32","34.4","0.01","0.001"
