"rank","item","obs","au","np"
"1","1","1.7","0.497","0.145"
"2","2","1.7","0.67","0.253"
"3","3","7.1","0.386","0.049"
"4","4","1.7","0.67","0.253"
"5","5","1.7","0.671","0.253"
"6","6","2.5","0.594","0.097"
"7","7","1.7","0.672","0.253"
"8","8","6.4","0.4","0.09"
"9","9","1.7","0.495","0.145"
"10","10","0","0.714","0.308"
"11","11","1.7","0.672","0.252"
"12","12","7.1","0.388","0.049"
"13","13","1.7","0.672","0.253"
"14","14","-0","0.714","0.307"
"15","15","2.5","0.593","0.097"
"16","16","1.7","0.494","0.145"
"17","17","38.3","0.038","0.006"
"18","18","25.1","0.148","0.012"
"19","19","28.6","0.039","0.001"
"20","20","38.2","0.021","0.004"
"21","21","35.6","0.032","0.004"
"22","22","49.2","0.001","0.0001"
"23","23","35.3","0.035","0.003"
"24","24","47.5","0.038","0.009"
"25","25","50","0.013","0.001"
"26","26","27.9","0.027","0.005"
"27","27","27.1","0.1","0.01"
"28","28","34","0.033","0.001"
"29","29","32.3","0.069","0.008"
"30","30","31.1","0.05","0.004"
"31","31","22.3","0.062","0.006"
"32","32","34.4","0.013","0.001"
