"rank","item","obs","au","np"
"1","1","1.7","0.474","0.053"
"2","2","1.7","0.676","0.253"
"3","3","7.1","0.384","0.05"
"4","4","1.7","0.677","0.252"
"5","5","1.7","0.677","0.253"
"6","6","2.5","0.579","0.097"
"7","7","1.7","0.677","0.253"
"8","8","6.4","0.402","0.09"
"9","9","1.7","0.488","0.143"
"10","10","0","0.729","0.309"
"11","11","1.7","0.678","0.252"
"12","12","7.1","0.385","0.05"
"13","13","1.7","0.677","0.252"
"14","14","-0","0.729","0.307"
"15","15","2.5","0.579","0.097"
"16","16","1.7","0.439","0.059"
"17","17","38.3","0.034","0.006"
"18","18","25.1","0.122","0.007"
"19","19","28.6","0.025","0.001"
"20","20","38.2","0.015","0.003"
"21","21","35.6","0.034","0.004"
"22","22","49.2","0.004","0.0003"
"23","23","35.3","0.023","0.003"
"24","24","47.5","0.042","0.011"
"25","25","50","0.01","0.001"
"26","26","27.9","0.031","0.005"
"27","27","27.1","0.089","0.01"
"28","28","34","0.015","0.0004"
"29","29","32.3","0.093","0.009"
"30","30","31.1","0.037","0.003"
"31","31","22.3","0.058","0.007"
"32","32","34.4","0.02","0.001"
