"rank","item","obs","au","np"
"1","1","1.7","0.494","0.143"
"2","2","1.7","0.676","0.254"
"3","3","7.1","0.38","0.05"
"4","4","1.7","0.676","0.254"
"5","5","1.7","0.679","0.254"
"6","6","2.5","0.561","0.097"
"7","7","1.7","0.678","0.254"
"8","8","6.4","0.416","0.09"
"9","9","1.7","0.494","0.143"
"10","10","0","0.727","0.309"
"11","11","1.7","0.675","0.254"
"12","12","7.1","0.377","0.05"
"13","13","1.7","0.676","0.254"
"14","14","-0","0.728","0.308"
"15","15","2.5","0.561","0.097"
"16","16","1.7","0.495","0.142"
"17","17","38.3","0.044","0.005"
"18","18","25.1","0.114","0.007"
"19","19","28.6","0.018","0.001"
"20","20","38.2","0.014","0.003"
"21","21","35.6","0.035","0.005"
"22","22","49.2","0.004","0.0003"
"23","23","35.3","0.021","0.003"
"24","24","47.5","0.039","0.01"
"25","25","50","0.012","0.001"
"26","26","27.9","0.03","0.005"
"27","27","27.1","0.094","0.011"
"28","28","34","0.001","0.0002"
"29","29","32.3","0.069","0.008"
"30","30","31.1","0.038","0.003"
"31","31","22.3","0.053","0.006"
"32","32","34.4","0.022","0.001"
