"rank","item","obs","au","np"
"1","1","1.7","0.517","0.146"
"2","2","1.7","0.654","0.252"
"3","3","7.1","0.391","0.049"
"4","4","1.7","0.652","0.252"
"5","5","1.7","0.651","0.253"
"6","6","2.5","0.564","0.095"
"7","7","1.7","0.652","0.253"
"8","8","6.4","0.405","0.091"
"9","9","1.7","0.514","0.146"
"10","10","0","0.731","0.306"
"11","11","1.7","0.652","0.252"
"12","12","7.1","0.386","0.049"
"13","13","1.7","0.654","0.252"
"14","14","-0","0.732","0.305"
"15","15","2.5","0.561","0.095"
"16","16","1.7","0.513","0.146"
"17","17","38.3","0.036","0.006"
"18","18","25.1","0.153","0.007"
"19","19","28.6","0.017","0.001"
"20","20","38.2","0.019","0.004"
"21","21","35.6","0.036","0.005"
"22","22","49.2","0.002","0.0002"
"23","23","35.3","0.025","0.003"
"24","24","47.5","0.044","0.011"
"25","25","50","0.014","0.001"
"26","26","27.9","0.038","0.005"
"27","27","27.1","0.085","0.01"
"28","28","34","0.01","0.0003"
"29","29","32.3","0.086","0.009"
"30","30","31.1","0.033","0.003"
"31","31","22.3","0.074","0.007"
"32","32","34.4","0.019","0.001"
