"rank","item","obs","au","np"
"1","1","1.7","0.507","0.144"
"2","2","1.7","0.665","0.252"
"3","3","7.1","0.408","0.05"
"4","4","1.7","0.665","0.252"
"5","5","1.7","0.666","0.252"
"6","6","2.5","0.569","0.098"
"7","7","1.7","0.664","0.253"
"8","8","6.4","0.395","0.089"
"9","9","1.7","0.509","0.144"
"10","10","0","0.715","0.308"
"11","11","1.7","0.665","0.252"
"12","12","7.1","0.407","0.051"
"13","13","1.7","0.664","0.252"
"14","14","-0","0.715","0.307"
"15","15","2.5","0.571","0.097"
"16","16","1.7","0.507","0.144"
"17","17","38.3","0.04","0.006"
"18","18","25.1","0.105","0.007"
"19","19","28.6","0.004","0.0003"
"20","20","38.2","0.022","0.004"
"21","21","35.6","0.037","0.005"
"22","22","49.2","0.007","0.0002"
"23","23","35.3","0.014","0.003"
"24","24","47.5","0.044","0.012"
"25","25","50","0.013","0.001"
"26","26","27.9","0.032","0.005"
"27","27","27.1","0.109","0.011"
"28","28","34","0.016","0.0003"
"29","29","32.3","0.077","0.007"
"30","30","31.1","0.045","0.004"
"31","31","22.3","0.075","0.007"
"32","32","34.4","0.024","0.001"
