"rank","item","obs","au","np"
"1","1","1.7","0.51","0.145"
"2","2","1.7","0.67","0.25"
"3","3","7.1","0.386","0.05"
"4","4","1.7","0.668","0.251"
"5","5","1.7","0.67","0.251"
"6","6","2.5","0.58","0.096"
"7","7","1.7","0.67","0.251"
"8","8","6.4","0.412","0.089"
"9","9","1.7","0.489","0.031"
"10","10","0","0.722","0.31"
"11","11","1.7","0.669","0.251"
"12","12","7.1","0.385","0.05"
"13","13","1.7","0.67","0.25"
"14","14","-0","0.72","0.308"
"15","15","2.5","0.58","0.096"
"16","16","1.7","0.514","0.145"
"17","17","38.3","0.037","0.006"
"18","18","25.1","0.141","0.007"
"19","19","28.6","0.012","0.0005"
"20","20","38.2","0.014","0.003"
"21","21","35.6","0.038","0.005"
"22","22","49.2","0.006","0.0002"
"23","23","35.3","0.018","0.003"
"24","24","47.5","0.033","0.01"
"25","25","50","0.011","0.001"
"26","26","27.9","0.03","0.004"
"27","27","27.1","0.088","0.01"
"28","28","34","0.009","0.0003"
"29","29","32.3","0.092","0.008"
"30","30","31.1","0.03","0.003"
"31","31","22.3","0.067","0.007"
"32","32","34.4","0.011","0.001"
