"rank","item","obs","au","np"
"1","1","1.7","0.511","0.144"
"2","2","1.7","0.665","0.253"
"3","3","7.1","0.385","0.051"
"4","4","1.7","0.665","0.253"
"5","5","1.7","0.666","0.253"
"6","6","2.5","0.576","0.097"
"7","7","1.7","0.666","0.253"
"8","8","6.4","0.381","0.09"
"9","9","1.7","0.508","0.146"
"10","10","0","0.727","0.306"
"11","11","1.7","0.664","0.253"
"12","12","7.1","0.382","0.051"
"13","13","1.7","0.663","0.253"
"14","14","-0","0.729","0.304"
"15","15","2.5","0.576","0.097"
"16","16","1.7","0.508","0.145"
"17","17","38.3","0.035","0.005"
"18","18","25.1","0.136","0.007"
"19","19","28.6","0.007","0.0003"
"20","20","38.2","0.02","0.003"
"21","21","35.6","0.033","0.005"
"22","22","49.2","0.018","0.002"
"23","23","35.3","0.038","0.003"
"24","24","47.5","0.04","0.011"
"25","25","50","0.007","0.001"
"26","26","27.9","0.032","0.005"
"27","27","27.1","0.079","0.011"
"28","28","34","0.004","0.0003"
"29","29","32.3","0.068","0.008"
"30","30","31.1","0.035","0.003"
"31","31","22.3","0.087","0.007"
"32","32","34.4","0.022","0.001"
