"rank","item","obs","au","np"
"1","1","1.7","0.503","0.144"
"2","2","1.7","0.665","0.25"
"3","3","7.1","0.375","0.049"
"4","4","1.7","0.664","0.25"
"5","5","1.7","0.667","0.25"
"6","6","2.5","0.575","0.097"
"7","7","1.7","0.665","0.251"
"8","8","6.4","0.411","0.091"
"9","9","1.7","0.502","0.145"
"10","10","0","0.729","0.308"
"11","11","1.7","0.664","0.25"
"12","12","7.1","0.373","0.05"
"13","13","1.7","0.663","0.251"
"14","14","-0","0.73","0.307"
"15","15","2.5","0.571","0.097"
"16","16","1.7","0.507","0.144"
"17","17","38.3","0.03","0.005"
"18","18","25.1","0.125","0.007"
"19","19","28.6","0.016","0.001"
"20","20","38.2","0.018","0.003"
"21","21","35.6","0.035","0.005"
"22","22","49.2","0.003","0.0002"
"23","23","35.3","0.016","0.003"
"24","24","47.5","0.037","0.01"
"25","25","50","0.016","0.002"
"26","26","27.9","0.033","0.004"
"27","27","27.1","0.113","0.011"
"28","28","34","0.019","0.0004"
"29","29","32.3","0.07","0.008"
"30","30","31.1","0.049","0.004"
"31","31","22.3","0.079","0.007"
"32","32","34.4","0.02","0.001"
