"rank","item","obs","au","np"
"1","1","1.7","0.496","0.145"
"2","2","1.7","0.661","0.25"
"3","3","7.1","0.406","0.049"
"4","4","1.7","0.662","0.251"
"5","5","1.7","0.663","0.25"
"6","6","2.5","0.598","0.096"
"7","7","1.7","0.661","0.251"
"8","8","6.4","0.396","0.091"
"9","9","1.7","0.495","0.145"
"10","10","0","0.725","0.31"
"11","11","1.7","0.661","0.251"
"12","12","7.1","0.404","0.049"
"13","13","1.7","0.661","0.25"
"14","14","-0","0.725","0.309"
"15","15","2.5","0.599","0.096"
"16","16","1.7","0.496","0.144"
"17","17","38.3","0.026","0.005"
"18","18","25.1","0.141","0.007"
"19","19","28.6","0.004","0.0003"
"20","20","38.2","0.015","0.004"
"21","21","35.6","0.035","0.005"
"22","22","49.2","0.004","0.0002"
"23","23","35.3","0.021","0.003"
"24","24","47.5","0.043","0.011"
"25","25","50","0.021","0.001"
"26","26","27.9","0.025","0.005"
"27","27","27.1","0.101","0.011"
"28","28","34","0.029","0.001"
"29","29","32.3","0.081","0.009"
"30","30","31.1","0.041","0.003"
"31","31","22.3","0.051","0.006"
"32","32","34.4","0.022","0.001"
