"rank","item","obs","au","np"
"1","1","1.7","0.506","0.145"
"2","2","1.7","0.666","0.252"
"3","3","7.1","0.355","0.049"
"4","4","1.7","0.666","0.252"
"5","5","1.7","0.664","0.252"
"6","6","2.5","0.599","0.098"
"7","7","1.7","0.667","0.252"
"8","8","6.4","0.378","0.09"
"9","9","1.7","0.506","0.145"
"10","10","0","0.742","0.307"
"11","11","1.7","0.665","0.252"
"12","12","7.1","0.355","0.049"
"13","13","1.7","0.666","0.252"
"14","14","-0","0.743","0.306"
"15","15","2.5","0.601","0.098"
"16","16","1.7","0.508","0.145"
"17","17","38.3","0.044","0.006"
"18","18","25.1","0.119","0.007"
"19","19","28.6","0.023","0.001"
"20","20","38.2","0.018","0.003"
"21","21","35.6","0.044","0.006"
"22","22","49.2","0.039","0.0005"
"23","23","35.3","0.021","0.003"
"24","24","47.5","0.032","0.01"
"25","25","50","0.015","0.001"
"26","26","27.9","0.027","0.004"
"27","27","27.1","0.11","0.011"
"28","28","34","0.01","0.0004"
"29","29","32.3","0.073","0.008"
"30","30","31.1","0.024","0.003"
"31","31","22.3","0.071","0.007"
"32","32","34.4","0.017","0.001"
