"rank","item","obs","au","np"
"1","1","1.7","0.52","0.144"
"2","2","1.7","0.654","0.251"
"3","3","7.1","0.396","0.049"
"4","4","1.7","0.656","0.251"
"5","5","1.7","0.658","0.25"
"6","6","2.5","0.598","0.097"
"7","7","1.7","0.656","0.251"
"8","8","6.4","0.399","0.091"
"9","9","1.7","0.517","0.144"
"10","10","0","0.722","0.308"
"11","11","1.7","0.655","0.25"
"12","12","7.1","0.398","0.049"
"13","13","1.7","0.657","0.25"
"14","14","-0","0.723","0.307"
"15","15","2.5","0.594","0.097"
"16","16","1.7","0.517","0.144"
"17","17","38.3","0.026","0.005"
"18","18","25.1","0.121","0.007"
"19","19","28.6","0.017","0.0004"
"20","20","38.2","0.021","0.004"
"21","21","35.6","0.031","0.005"
"22","22","49.2","0.008","0.0003"
"23","23","35.3","0.016","0.003"
"24","24","47.5","0.037","0.01"
"25","25","50","0.022","0.001"
"26","26","27.9","0.023","0.005"
"27","27","27.1","0.092","0.01"
"28","28","34","0.023","0.001"
"29","29","32.3","0.075","0.008"
"30","30","31.1","0.045","0.004"
"31","31","22.3","0.071","0.007"
"32","32","34.4","0.016","0.001"
