"rank","item","obs","au","np"
"1","1","1.7","0.497","0.144"
"2","2","1.7","0.666","0.254"
"3","3","7.1","0.346","0.019"
"4","4","1.7","0.666","0.253"
"5","5","1.7","0.668","0.253"
"6","6","2.5","0.581","0.097"
"7","7","1.7","0.667","0.254"
"8","8","6.4","0.37","0.089"
"9","9","1.7","0.493","0.145"
"10","10","0","0.735","0.308"
"11","11","1.7","0.667","0.253"
"12","12","7.1","0.372","0.049"
"13","13","1.7","0.666","0.254"
"14","14","-0","0.734","0.307"
"15","15","2.5","0.584","0.097"
"16","16","1.7","0.498","0.144"
"17","17","38.3","0.035","0.005"
"18","18","25.1","0.139","0.008"
"19","19","28.6","0.009","0.0004"
"20","20","38.2","0.018","0.004"
"21","21","35.6","0.033","0.005"
"22","22","49.2","0.009","0.0002"
"23","23","35.3","0.027","0.003"
"24","24","47.5","0.04","0.01"
"25","25","50","0.016","0.001"
"26","26","27.9","0.044","0.005"
"27","27","27.1","0.103","0.01"
"28","28","34","0.011","0.0004"
"29","29","32.3","0.073","0.008"
"30","30","31.1","0.043","0.004"
"31","31","22.3","0.064","0.006"
"32","32","34.4","0.029","0.001"
