"rank","item","obs","au","np"
"1","1","1.7","0.529","0.144"
"2","2","1.7","0.658","0.254"
"3","3","7.1","0.379","0.048"
"4","4","1.7","0.66","0.253"
"5","5","1.7","0.661","0.253"
"6","6","2.5","0.585","0.096"
"7","7","1.7","0.66","0.254"
"8","8","6.4","0.395","0.09"
"9","9","1.7","0.528","0.145"
"10","10","0","0.726","0.308"
"11","11","1.7","0.66","0.253"
"12","12","7.1","0.382","0.048"
"13","13","1.7","0.662","0.253"
"14","14","-0","0.726","0.307"
"15","15","2.5","0.582","0.097"
"16","16","1.7","0.53","0.145"
"17","17","38.3","0.031","0.006"
"18","18","25.1","0.131","0.007"
"19","19","28.6","0.029","0.001"
"20","20","38.2","0.013","0.003"
"21","21","35.6","0.036","0.005"
"22","22","49.2","0.007","0.0004"
"23","23","35.3","0.015","0.002"
"24","24","47.5","0.032","0.01"
"25","25","50","0.014","0.001"
"26","26","27.9","0.047","0.005"
"27","27","27.1","0.112","0.011"
"28","28","34","0.017","0.0004"
"29","29","32.3","0.069","0.007"
"30","30","31.1","0.035","0.003"
"31","31","22.3","0.065","0.007"
"32","32","34.4","0.014","0.001"
