"rank","item","obs","au","np"
"1","1","1.7","0.486","0.143"
"2","2","1.7","0.672","0.249"
"3","3","7.1","0.416","0.052"
"4","4","1.7","0.672","0.249"
"5","5","1.7","0.672","0.25"
"6","6","2.5","0.58","0.096"
"7","7","1.7","0.672","0.25"
"8","8","6.4","0.379","0.09"
"9","9","1.7","0.483","0.144"
"10","10","0","0.735","0.31"
"11","11","1.7","0.672","0.249"
"12","12","7.1","0.416","0.053"
"13","13","1.7","0.67","0.25"
"14","14","-0","0.733","0.309"
"15","15","2.5","0.578","0.096"
"16","16","1.7","0.483","0.144"
"17","17","38.3","0.043","0.009"
"18","18","25.1","0.111","0.007"
"19","19","28.6","0.023","0.001"
"20","20","38.2","0.019","0.004"
"21","21","35.6","0.033","0.005"
"22","22","49.2","0.002","0.0002"
"23","23","35.3","0.015","0.002"
"24","24","47.5","0.037","0.01"
"25","25","50","0.015","0.001"
"26","26","27.9","0.038","0.005"
"27","27","27.1","0.103","0.011"
"28","28","34","0.013","0.001"
"29","29","32.3","0.083","0.008"
"30","30","31.1","0.032","0.003"
"31","31","22.3","0.072","0.007"
"32","32","34.4","0.049","0.002"
