"rank","item","obs","au","np"
"1","1","1.7","0.51","0.145"
"2","2","1.7","0.67","0.252"
"3","3","7.1","0.368","0.05"
"4","4","1.7","0.67","0.253"
"5","5","1.7","0.671","0.252"
"6","6","2.5","0.588","0.096"
"7","7","1.7","0.67","0.253"
"8","8","6.4","0.384","0.091"
"9","9","1.7","0.512","0.145"
"10","10","0","0.726","0.309"
"11","11","1.7","0.67","0.252"
"12","12","7.1","0.37","0.05"
"13","13","1.7","0.67","0.252"
"14","14","-0","0.725","0.308"
"15","15","2.5","0.589","0.095"
"16","16","1.7","0.511","0.145"
"17","17","38.3","0.036","0.006"
"18","18","25.1","0.138","0.007"
"19","19","28.6","0.027","0.001"
"20","20","38.2","0.01","0.003"
"21","21","35.6","0.04","0.005"
"22","22","49.2","0.004","0.0003"
"23","23","35.3","0.013","0.002"
"24","24","47.5","0.032","0.009"
"25","25","50","0.008","0.001"
"26","26","27.9","0.031","0.005"
"27","27","27.1","0.121","0.011"
"28","28","34","0.008","0.0003"
"29","29","32.3","0.057","0.007"
"30","30","31.1","0.033","0.003"
"31","31","22.3","0.085","0.007"
"32","32","34.4","0.035","0.001"
