"rank","item","obs","au","np"
"1","1","1.7","0.499","0.143"
"2","2","1.7","0.676","0.249"
"3","3","7.1","0.39","0.05"
"4","4","1.7","0.675","0.249"
"5","5","1.7","0.674","0.249"
"6","6","2.5","0.572","0.097"
"7","7","1.7","0.674","0.25"
"8","8","6.4","0.395","0.089"
"9","9","1.7","0.495","0.144"
"10","10","0","0.729","0.311"
"11","11","1.7","0.676","0.249"
"12","12","7.1","0.391","0.049"
"13","13","1.7","0.675","0.249"
"14","14","-0","0.729","0.31"
"15","15","2.5","0.573","0.097"
"16","16","1.7","0.495","0.144"
"17","17","38.3","0.033","0.006"
"18","18","25.1","0.116","0.007"
"19","19","28.6","0.011","0.0004"
"20","20","38.2","0.014","0.003"
"21","21","35.6","0.033","0.005"
"22","22","49.2","0.02","0.001"
"23","23","35.3","0.02","0.003"
"24","24","47.5","0.036","0.011"
"25","25","50","0.026","0.001"
"26","26","27.9","0.029","0.004"
"27","27","27.1","0.091","0.01"
"28","28","34","0.007","0.0003"
"29","29","32.3","0.072","0.007"
"30","30","31.1","0.064","0.004"
"31","31","22.3","0.088","0.007"
"32","32","34.4","0.015","0.001"
