"rank","item","obs","au","np"
"1","1","1.7","0.512","0.147"
"2","2","1.7","0.678","0.252"
"3","3","7.1","0.353","0.05"
"4","4","1.7","0.677","0.252"
"5","5","1.7","0.677","0.252"
"6","6","2.5","0.604","0.097"
"7","7","1.7","0.677","0.253"
"8","8","6.4","0.399","0.09"
"9","9","1.7","0.513","0.147"
"10","10","0","0.713","0.307"
"11","11","1.7","0.676","0.252"
"12","12","7.1","0.354","0.05"
"13","13","1.7","0.677","0.252"
"14","14","-0","0.715","0.304"
"15","15","2.5","0.604","0.097"
"16","16","1.7","0.512","0.147"
"17","17","38.3","0.032","0.005"
"18","18","25.1","0.12","0.007"
"19","19","28.6","0.013","0.001"
"20","20","38.2","0.012","0.003"
"21","21","35.6","0.032","0.005"
"22","22","49.2","0.003","0.0002"
"23","23","35.3","0.02","0.003"
"24","24","47.5","0.038","0.011"
"25","25","50","0.013","0.001"
"26","26","27.9","0.025","0.004"
"27","27","27.1","0.113","0.011"
"28","28","34","0.01","0.0003"
"29","29","32.3","0.08","0.008"
"30","30","31.1","0.036","0.004"
"31","31","22.3","0.067","0.006"
"32","32","34.4","0.025","0.001"
