"rank","item","obs","au","np"
"1","1","1.7","0.504","0.145"
"2","2","1.7","0.661","0.254"
"3","3","7.1","0.419","0.05"
"4","4","1.7","0.662","0.253"
"5","5","1.7","0.662","0.254"
"6","6","2.5","0.584","0.096"
"7","7","1.7","0.662","0.254"
"8","8","6.4","0.386","0.088"
"9","9","1.7","0.505","0.145"
"10","10","0","0.732","0.308"
"11","11","1.7","0.661","0.253"
"12","12","7.1","0.416","0.05"
"13","13","1.7","0.663","0.253"
"14","14","-0","0.731","0.307"
"15","15","2.5","0.584","0.096"
"16","16","1.7","0.503","0.145"
"17","17","38.3","0.032","0.006"
"18","18","25.1","0.101","0.007"
"19","19","28.6","0.021","0.001"
"20","20","38.2","0.012","0.003"
"21","21","35.6","0.041","0.005"
"22","22","49.2","0.007","0.0002"
"23","23","35.3","0.021","0.003"
"24","24","47.5","0.033","0.01"
"25","25","50","0.006","0.001"
"26","26","27.9","0.037","0.005"
"27","27","27.1","0.1","0.01"
"28","28","34","0.01","0.0003"
"29","29","32.3","0.062","0.007"
"30","30","31.1","0.038","0.003"
"31","31","22.3","0.07","0.007"
"32","32","34.4","0.02","0.001"
