"rank","item","obs","au","np"
"1","1","1.7","0.509","0.143"
"2","2","1.7","0.674","0.253"
"3","3","7.1","0.371","0.051"
"4","4","1.7","0.674","0.253"
"5","5","1.7","0.674","0.253"
"6","6","2.5","0.592","0.098"
"7","7","1.7","0.674","0.253"
"8","8","6.4","0.407","0.09"
"9","9","1.7","0.508","0.143"
"10","10","0","0.715","0.306"
"11","11","1.7","0.674","0.253"
"12","12","7.1","0.368","0.051"
"13","13","1.7","0.672","0.254"
"14","14","-0","0.714","0.305"
"15","15","2.5","0.592","0.098"
"16","16","1.7","0.509","0.143"
"17","17","38.3","0.039","0.006"
"18","18","25.1","0.111","0.007"
"19","19","28.6","0.011","0.0004"
"20","20","38.2","0.022","0.004"
"21","21","35.6","0.027","0.005"
"22","22","49.2","0.006","0.0002"
"23","23","35.3","0.018","0.003"
"24","24","47.5","0.035","0.01"
"25","25","50","0.011","0.001"
"26","26","27.9","0.029","0.005"
"27","27","27.1","0.108","0.011"
"28","28","34","0.019","0.001"
"29","29","32.3","0.092","0.008"
"30","30","31.1","0.035","0.003"
"31","31","22.3","0.073","0.007"
"32","32","34.4","0.007","0.001"
