"rank","item","obs","au","np"
"1","1","1.7","0.515","0.145"
"2","2","1.7","0.663","0.251"
"3","3","7.1","0.371","0.05"
"4","4","1.7","0.664","0.251"
"5","5","1.7","0.663","0.252"
"6","6","2.5","0.589","0.097"
"7","7","1.7","0.662","0.252"
"8","8","6.4","0.397","0.094"
"9","9","1.7","0.514","0.145"
"10","10","0","0.731","0.307"
"11","11","1.7","0.662","0.251"
"12","12","7.1","0.358","0.031"
"13","13","1.7","0.663","0.252"
"14","14","-0","0.73","0.307"
"15","15","2.5","0.554","0.054"
"16","16","1.7","0.511","0.145"
"17","17","38.3","0.025","0.006"
"18","18","25.1","0.131","0.007"
"19","19","28.6","0.011","0.0004"
"20","20","38.2","0.014","0.003"
"21","21","35.6","0.036","0.005"
"22","22","49.2","0.016","0.001"
"23","23","35.3","0.023","0.003"
"24","24","47.5","0.045","0.011"
"25","25","50","0.014","0.001"
"26","26","27.9","0.03","0.005"
"27","27","27.1","0.111","0.011"
"28","28","34","0.007","0.0003"
"29","29","32.3","0.063","0.007"
"30","30","31.1","0.04","0.004"
"31","31","22.3","0.091","0.006"
"32","32","34.4","0.008","0.001"
