"rank","item","obs","au","np"
"1","1","1.7","0.485","0.146"
"2","2","1.7","0.676","0.25"
"3","3","7.1","0.395","0.055"
"4","4","1.7","0.677","0.251"
"5","5","1.7","0.677","0.251"
"6","6","2.5","0.612","0.098"
"7","7","1.7","0.675","0.252"
"8","8","6.4","0.392","0.088"
"9","9","1.7","0.485","0.146"
"10","10","0","0.721","0.309"
"11","11","1.7","0.676","0.25"
"12","12","7.1","0.396","0.051"
"13","13","1.7","0.674","0.251"
"14","14","-0","0.72","0.308"
"15","15","2.5","0.612","0.098"
"16","16","1.7","0.488","0.145"
"17","17","38.3","0.032","0.005"
"18","18","25.1","0.113","0.007"
"19","19","28.6","0.04","0.001"
"20","20","38.2","0.009","0.003"
"21","21","35.6","0.042","0.005"
"22","22","49.2","0.007","0.0002"
"23","23","35.3","0.011","0.002"
"24","24","47.5","0.039","0.011"
"25","25","50","0.015","0.001"
"26","26","27.9","0.037","0.006"
"27","27","27.1","0.089","0.011"
"28","28","34","0.012","0.0003"
"29","29","32.3","0.064","0.008"
"30","30","31.1","0.044","0.004"
"31","31","22.3","0.079","0.007"
"32","32","34.4","0.013","0.001"
