"rank","item","obs","au","np"
"1","1","1.7","0.498","0.145"
"2","2","1.7","0.668","0.252"
"3","3","7.1","0.367","0.054"
"4","4","1.7","0.668","0.252"
"5","5","1.7","0.667","0.253"
"6","6","2.5","0.546","0.044"
"7","7","1.7","0.667","0.253"
"8","8","6.4","0.396","0.09"
"9","9","1.7","0.497","0.145"
"10","10","0","0.735","0.306"
"11","11","1.7","0.668","0.252"
"12","12","7.1","0.368","0.054"
"13","13","1.7","0.668","0.252"
"14","14","-0","0.735","0.305"
"15","15","2.5","0.55","0.055"
"16","16","1.7","0.494","0.146"
"17","17","38.3","0.033","0.005"
"18","18","25.1","0.14","0.007"
"19","19","28.6","0.018","0.001"
"20","20","38.2","0.016","0.003"
"21","21","35.6","0.035","0.005"
"22","22","49.2","0.003","0.0002"
"23","23","35.3","0.023","0.003"
"24","24","47.5","0.032","0.01"
"25","25","50","0.011","0.001"
"26","26","27.9","0.032","0.005"
"27","27","27.1","0.093","0.011"
"28","28","34","0.015","0.001"
"29","29","32.3","0.065","0.008"
"30","30","31.1","0.043","0.003"
"31","31","22.3","0.063","0.007"
"32","32","34.4","0.042","0.002"
