"rank","item","obs","au","np"
"1","1","1.7","0.472","0.144"
"2","2","1.7","0.672","0.251"
"3","3","7.1","0.393","0.052"
"4","4","1.7","0.673","0.251"
"5","5","1.7","0.673","0.252"
"6","6","2.5","0.595","0.096"
"7","7","1.7","0.674","0.252"
"8","8","6.4","0.395","0.088"
"9","9","1.7","0.474","0.143"
"10","10","0","0.724","0.311"
"11","11","1.7","0.672","0.251"
"12","12","7.1","0.391","0.052"
"13","13","1.7","0.673","0.251"
"14","14","-0","0.724","0.31"
"15","15","2.5","0.547","0.053"
"16","16","1.7","0.472","0.144"
"17","17","38.3","0.041","0.006"
"18","18","25.1","0.131","0.007"
"19","19","28.6","0.011","0.0003"
"20","20","38.2","0.022","0.004"
"21","21","35.6","0.031","0.005"
"22","22","49.2","0.005","0.0002"
"23","23","35.3","0.028","0.003"
"24","24","47.5","0.04","0.011"
"25","25","50","0.019","0.001"
"26","26","27.9","0.033","0.005"
"27","27","27.1","0.098","0.011"
"28","28","34","0.007","0.0003"
"29","29","32.3","0.077","0.009"
"30","30","31.1","0.036","0.004"
"31","31","22.3","0.074","0.007"
"32","32","34.4","0.035","0.001"
