"rank","item","obs","au","np"
"1","1","1.7","0.483","0.144"
"2","2","1.7","0.681","0.252"
"3","3","7.1","0.388","0.05"
"4","4","1.7","0.679","0.252"
"5","5","1.7","0.681","0.252"
"6","6","2.5","0.601","0.097"
"7","7","1.7","0.681","0.252"
"8","8","6.4","0.385","0.089"
"9","9","1.7","0.481","0.144"
"10","10","0","0.723","0.308"
"11","11","1.7","0.68","0.252"
"12","12","7.1","0.389","0.05"
"13","13","1.7","0.678","0.252"
"14","14","-0","0.645","0.185"
"15","15","2.5","0.596","0.097"
"16","16","1.7","0.484","0.143"
"17","17","38.3","0.033","0.005"
"18","18","25.1","0.116","0.007"
"19","19","28.6","0.034","0.001"
"20","20","38.2","0.017","0.004"
"21","21","35.6","0.035","0.005"
"22","22","49.2","0.009","0.001"
"23","23","35.3","0.016","0.002"
"24","24","47.5","0.039","0.011"
"25","25","50","0.021","0.001"
"26","26","27.9","0.044","0.005"
"27","27","27.1","0.097","0.01"
"28","28","34","0.009","0.0003"
"29","29","32.3","0.069","0.008"
"30","30","31.1","0.052","0.004"
"31","31","22.3","0.06","0.007"
"32","32","34.4","0.03","0.001"
