"rank","item","obs","au","np"
"1","1","1.7","0.516","0.146"
"2","2","1.7","0.642","0.251"
"3","3","7.1","0.368","0.049"
"4","4","1.7","0.641","0.251"
"5","5","1.7","0.643","0.251"
"6","6","2.5","0.584","0.097"
"7","7","1.7","0.642","0.251"
"8","8","6.4","0.397","0.089"
"9","9","1.7","0.517","0.146"
"10","10","0","0.74","0.308"
"11","11","1.7","0.64","0.252"
"12","12","7.1","0.365","0.049"
"13","13","1.7","0.644","0.251"
"14","14","-0","0.739","0.307"
"15","15","2.5","0.583","0.097"
"16","16","1.7","0.517","0.146"
"17","17","38.3","0.042","0.006"
"18","18","25.1","0.109","0.007"
"19","19","28.6","0.014","0.0004"
"20","20","38.2","0.016","0.004"
"21","21","35.6","0.033","0.005"
"22","22","49.2","0.017","0.0004"
"23","23","35.3","0.025","0.002"
"24","24","47.5","0.035","0.01"
"25","25","50","0.014","0.001"
"26","26","27.9","0.038","0.005"
"27","27","27.1","0.102","0.011"
"28","28","34","0.03","0.001"
"29","29","32.3","0.078","0.008"
"30","30","31.1","0.036","0.004"
"31","31","22.3","0.066","0.006"
"32","32","34.4","0.044","0.002"
