"rank","item","obs","au","np"
"1","1","1.7","0.488","0.145"
"2","2","1.7","0.672","0.25"
"3","3","7.1","0.392","0.054"
"4","4","1.7","0.675","0.25"
"5","5","1.7","0.672","0.251"
"6","6","2.5","0.595","0.098"
"7","7","1.7","0.673","0.251"
"8","8","6.4","0.403","0.089"
"9","9","1.7","0.491","0.145"
"10","10","0","0.72","0.31"
"11","11","1.7","0.674","0.25"
"12","12","7.1","0.394","0.052"
"13","13","1.7","0.673","0.25"
"14","14","-0","0.721","0.308"
"15","15","2.5","0.595","0.098"
"16","16","1.7","0.488","0.145"
"17","17","38.3","0.039","0.006"
"18","18","25.1","0.119","0.007"
"19","19","28.6","0.018","0.001"
"20","20","38.2","0.019","0.004"
"21","21","35.6","0.04","0.006"
"22","22","49.2","0.002","0.0002"
"23","23","35.3","0.024","0.003"
"24","24","47.5","0.044","0.011"
"25","25","50","0.017","0.002"
"26","26","27.9","0.022","0.005"
"27","27","27.1","0.099","0.011"
"28","28","34","0.018","0.001"
"29","29","32.3","0.07","0.008"
"30","30","31.1","0.031","0.003"
"31","31","22.3","0.065","0.007"
"32","32","34.4","0.038","0.002"
