"rank","item","obs","au","np"
"1","1","1.7","0.518","0.144"
"2","2","1.7","0.665","0.255"
"3","3","7.1","0.326","0.018"
"4","4","1.7","0.665","0.256"
"5","5","1.7","0.667","0.255"
"6","6","2.5","0.597","0.096"
"7","7","1.7","0.665","0.256"
"8","8","6.4","0.39","0.087"
"9","9","1.7","0.518","0.144"
"10","10","0","0.716","0.309"
"11","11","1.7","0.668","0.255"
"12","12","7.1","0.37","0.05"
"13","13","1.7","0.666","0.255"
"14","14","-0","0.636","0.185"
"15","15","2.5","0.594","0.096"
"16","16","1.7","0.519","0.144"
"17","17","38.3","0.035","0.006"
"18","18","25.1","0.138","0.007"
"19","19","28.6","0.029","0.001"
"20","20","38.2","0.021","0.003"
"21","21","35.6","0.048","0.005"
"22","22","49.2","0.002","0.0002"
"23","23","35.3","0.021","0.003"
"24","24","47.5","0.039","0.01"
"25","25","50","0.016","0.001"
"26","26","27.9","0.031","0.004"
"27","27","27.1","0.089","0.01"
"28","28","34","0.01","0.0003"
"29","29","32.3","0.061","0.008"
"30","30","31.1","0.028","0.004"
"31","31","22.3","0.066","0.007"
"32","32","34.4","0.033","0.001"
