"rank","item","obs","au","np"
"1","1","0","0.386","0.114"
"2","2","0","0.026","0.008"
"3","3","-0","0.62","0.327"
"4","4","0","0.003","0.0002"
"5","5","0","0.058","0.041"
"6","6","0","0.587","0.075"
"7","7","0","0.122","0.014"
"8","8","0","0.557","0.178"
"9","9","0","0.839","0.49"
"10","10","0","8E-06","6E-06"
"11","11","0","7E-12","2E-07"
"12","12","0","0.551","0.251"
"13","13","0","8E-13","2E-08"
"14","14","0","0.001","2E-05"
"15","15","0","2E-05","8E-07"
"16","16","0","0.001","2E-07"
