"rank","item","obs","au","np"
"1","1","0","0.387","0.112"
"2","2","0","0.041","0.009"
"3","3","-0","0.6","0.318"
"4","4","0","0.007","0.0002"
"5","5","0","0.067","0.044"
"6","6","0","0.573","0.079"
"7","7","0","0.123","0.013"
"8","8","0","0.565","0.18"
"9","9","0","2E-10","1E-08"
"10","10","0","1E-05","1E-06"
"11","11","0","0","4E-23"
"12","12","0","0.562","0.253"
"13","13","0","0","7E-24"
"14","14","0","0.045","0.0001"
"15","15","0","1E-45","3E-16"
"16","16","0","0","2E-21"
