"rank","item","obs","au","np"
"1","1","0","0.399","0.114"
"2","2","0","0.043","0.01"
"3","3","-0","0.612","0.324"
"4","4","0","0.017","0.0003"
"5","5","0","0.057","0.039"
"6","6","0","0.556","0.076"
"7","7","0","0.103","0.013"
"8","8","0","0.559","0.177"
"9","9","0","0.832","0.495"
"10","10","0","9E-09","2E-07"
"11","11","0","0","2E-21"
"12","12","0","0.561","0.254"
"13","13","0","0","4E-21"
"14","14","0","2E-07","3E-07"
"15","15","0","8E-44","1E-16"
"16","16","0","2E-36","4E-15"
