"rank","item","obs","au","np"
"1","1","0","0.411","0.113"
"2","2","0","0.02","0.008"
"3","3","-0","0.671","0.314"
"4","4","0","0.011","0.0002"
"5","5","0","0.107","0.042"
"6","6","0","0.49","0.079"
"7","7","0","0.082","0.014"
"8","8","0","0.419","0.187"
"9","9","0","0.799","0.495"
"10","10","0","8E-06","2E-06"
"11","11","0","0.004","7E-06"
"12","12","0","0.609","0.252"
"13","13","0","6E-06","8E-07"
"14","14","0","0.002","4E-05"
"15","15","0","0","6E-23"
"16","16","0","0","1E-20"
