"rank","item","obs","au","np"
"1","1","0","0.388","0.112"
"2","2","0","0.024","0.008"
"3","3","-0","0.667","0.313"
"4","4","0","0.01","0.0002"
"5","5","0","0.129","0.043"
"6","6","0","0.51","0.08"
"7","7","0","0.096","0.014"
"8","8","0","0.393","0.187"
"9","9","0","0.795","0.484"
"10","10","0","0.0002","8E-06"
"11","11","0","0.004","3E-06"
"12","12","0","0.616","0.252"
"13","13","0","0.006","2E-05"
"14","14","0","0.004","5E-05"
"15","15","0","5E-13","2E-09"
"16","16","0","2E-10","2E-08"
