"rank","item","obs","au","np"
"1","1","0","0.39","0.112"
"2","2","0","0.018","0.007"
"3","3","-0","0.665","0.314"
"4","4","0","0.007","0.0002"
"5","5","0","0.114","0.041"
"6","6","0","0.51","0.081"
"7","7","0","0.07","0.013"
"8","8","0","0.413","0.185"
"9","9","0","0.802","0.497"
"10","10","0","0.002","4E-05"
"11","11","0","0","2E-20"
"12","12","0","0.615","0.254"
"13","13","0","0.001","4E-06"
"14","14","0","0.001","4E-05"
"15","15","0","1E-06","4E-07"
"16","16","0","4E-06","5E-07"
